PC1,PC2,KMeans_Cluster,Hierarchical_Cluster
0.2182141561368909,-0.5668167764396402,0,0
-0.5241208428098882,-0.7037448085829026,0,0
-0.14664246300755113,-0.9558838257420516,0,0
0.0745728748177984,-1.1256012768205295,0,0
-0.47776104285111104,-1.2364257237818979,0,0
-1.047748492719431,-1.2918422098055542,0,0
-1.3857957407784318,-1.2643081037241446,0,0
-1.4718650685081847,-1.3954450163592511,0,0
-1.7790925761157568,-1.4099829378689475,0,0
-2.0810930100119616,-1.495651915767877,0,0
-2.2495196469930434,-1.5072182389825697,0,0
-2.340435033571286,-1.3498138384498526,0,0
-2.0439395137970346,-1.45322253700723,0,0
-1.2783627226869492,-1.4813199377021682,0,0
-0.16714510485104087,-1.1966682625568483,0,0
-0.22402574551766866,-1.1366904554329078,0,0
-0.6826608685739713,-1.2458336034332549,0,0
-0.9346132813616869,-1.3380531450761137,0,0
-0.8053172778490091,-1.5141076910055993,0,0
-0.2499678978566509,-1.6857034604648087,0,0
0.7007406480816344,-1.5514654621440918,1,0
0.19557098099154896,-1.657078977708845,0,0
0.2015579856895925,-1.4261915358672794,0,0
0.7955197461723194,-1.2381877861354296,1,0
2.3188362889576255,-0.6286503355689437,1,1
3.9748488386302716,-0.35804756302364155,1,1
3.323940551063162,-0.5455324557800447,1,1
1.2673779835560584,-1.155932546450986,1,0
-0.9773575476843123,-1.6912148215991447,0,0
-1.7421771517748839,-1.7271202688363319,0,0
-0.6427017750523932,-1.6083890664357314,0,0
-0.3638917014710842,-1.6849568936516153,0,0
-0.9988266606468363,-1.8661145098931964,0,0
-1.7315476600121533,-1.9684027107207698,0,0
-2.1800762044471584,-2.093609103703749,0,0
-2.0790188382509944,-2.0994441226316876,0,0
-1.622760340083338,-2.022145421690897,0,0
-0.7591663938914174,-2.00617016741558,0,0
2.018636964219811,-1.1906433877095461,1,1
1.749406199535089,-0.75989581455269,1,1
0.6809104544474842,-0.5065018559749842,0,1
0.6608734775418231,-0.5400202636623255,0,1
-0.1512970271412708,-0.4866720596160802,0,0
0.09642454414986303,-0.2894840647089968,0,1
0.35540257161300143,-0.1845963434915707,0,1
0.6218940875372002,-0.186688673127723,0,1
0.39914397421901593,-0.2284912691621092,0,1
0.09450105831534492,-0.1700654235628348,0,1
1.5881462878495292,-0.026509098896067982,1,1
1.4099803635788903,-0.17269879355583342,1,1
3.980551729084833,0.35863494545830293,1,1
2.050146828680621,-0.39103754027578214,1,1
1.2381405469655349,-0.8573551735143987,1,0
2.4807091980944476,-0.6007037157707722,1,1
0.2728888169243571,-1.2899736684025602,0,0
-0.44651550943093254,-1.4576385324198966,0,0
-0.9694099612956228,-1.5622345522818395,0,0
-0.8714435754049663,-1.7222250986491476,0,0
-0.8891726677097306,-1.874152075230507,0,0
-1.5778532994116434,-1.76125321366736,0,0
-1.5363924707340006,-1.8974837642884865,0,0
-0.8748150675832834,-2.0022497968334156,0,0
0.46074862719457427,-1.6796668819168346,0,0
1.2870444311688032,-0.991385458679609,1,0
0.8691112208493956,-0.6956585371579617,1,0
1.7741024759316586,-0.10014670249191264,1,1
1.3018294766713998,0.13403611134866775,1,1
0.2901269728304643,0.1966104844589699,0,1
-0.5204175082852973,-0.1340665339192281,0,0
-0.34153977192415896,-0.0908161342175533,0,0
0.04517619728909542,-0.12082668752608319,0,1
0.05009257432635787,-0.24555336412822637,0,1
1.1254478661965617,-0.10821821708541095,1,1
2.046559103852499,0.06364427228007374,1,1
1.9874496002398165,0.04003424900939755,1,1
1.9280811673117295,-0.03954579907893196,1,1
0.8846118121876295,-0.3917630119398914,1,1
0.3258941522736544,-0.47699729638967225,0,0
0.4912249462870296,-0.5597646220827313,0,0
0.35108219845333033,-0.4090758217699295,0,0
-0.18705310362502534,-0.8401098473867634,0,0
-0.3221072088548658,-0.9257847540899855,0,0
-1.0144322703371804,-1.0488756346650923,0,0
-1.4762126940872957,-1.2382304553909267,0,0
-1.7204754224577794,-1.2697259216740864,0,0
-1.6157621743173831,-1.5015316817356779,0,0
-1.1081555848567046,-1.2252939268669854,0,0
-0.887045599761357,-0.9947107214834374,0,0
-0.36033915901817376,-0.5633498842927149,0,0
0.19539551828107407,-0.11162437066174227,0,0
0.15260486328384476,0.1883330952787986,0,1
-0.6392596354560166,0.23636240389336516,0,0
-0.7593372193607076,0.23795874521616567,0,0
-0.6127677445325196,0.3150953357088309,0,0
0.3816501590359829,0.5429859002025246,0,1
0.3807045846746475,0.43685608620923017,0,1
0.14964670012077835,0.2534171903194291,0,1
2.074255341029039,0.5348390388173127,1,1
3.0372611998160353,0.6195192988534591,1,1
1.0851007309145215,0.003169311046316951,1,1
-0.16533589092984788,-0.33332990697057213,0,1
-0.11400479022913561,-0.5609810581337384,0,0
